Name,Prem City,Prem State,Map color,Alt Telephone,Aphis Livestock Market Id,Contact,Mail City,Mail State,Mail Zip,Mailing Address,Name,Prem Address,Prem City,Prem State,Primary Telephone,Latitude (generated),Longitude (generated)
Stutzman Auction Company,Mount Ayr,IA,Services Offered,,IA457,Scott Stutzman,Mount Ayr,IA,50854,303 N. Taylor,Stutzman Auction Company,303 N. Taylor,Mount Ayr,IA,641-464-5151,40.7147,-94.2352
"Stuart Sale Barn, LLC",Stuart,IA,Services Offered,515-523-1071,IA183,William C. Gomez,Stuart,IA,50250,523 E. Front St.,"Stuart Sale Barn, LLC",523 E. Front St.,Stuart,IA,515-523-1071,41.5033,-94.3186
Stroud Oklahoma Horse Action,Stroud,OK,Services Offered,,OK1028,Kory Pierson,Stroud,OK,74079,55623 West Hwy 66,Stroud Oklahoma Horse Action,55623 West Hwy 66,Stroud,OK,,35.7487,-96.6581
"Stoney Pike Livestock Auction, Inc.",Logansport,IN,Services Offered,219-753-0544,IN150,Ronald Bullard,Logansport,IN,46947,P.O. Box 777,"Stoney Pike Livestock Auction, Inc.",828 East Main,Logansport,IN,574-753-0054,40.7545,-86.3567
"Stone Livestock Commission, Co.",Mt. Pleasant,TX,Services Offered,,TX107,Tony Stone,Mt. Pleasant,TX,75455,P.O. Box 1370,"Stone Livestock Commission, Co.",730 East 16th Street,Mt. Pleasant,TX,903-575-9099,,
"Stockmens Livestock, Inc.",Yankton,SD,Services Offered,,SD133,Greg Ryken,Yankton,SD,57078,1200 E. Highway 50,"Stockmens Livestock, Inc.",1200 E. Highway 50,Yankton,SD,605-665-9641,42.8712,-97.3971
Stockmen's West,Dickinson,ND,Services Offered,,ND1004,"John Fischer, Austin Henderson, Daniel O’Donnell",Dickinson,,58601,P.O. Box 1348,Stockmen's West,855 Broadway E,Dickinson,ND,,46.8792,-102.7896
Stockmen's Livestock Exchange,Dickinson,ND,Services Offered,,ND1003,"John Fischer, Austin Henderson, Daniel O’Donnell",Dickinson,,58601,PO Box 1209,Stockmen's Livestock Exchange,815 Livestock Lane,Dickinson,ND,,46.8792,-102.7896
Stockman's Oklahoma Auction Market,Apache,OK,Services Offered,,OK115,Bob Rodenberger,Apache,OK,73006,P.O. Box 939,Stockman's Oklahoma Auction Market,Highway 19 West,Apache,OK,580-588-3840,34.8937,-98.3659
Stockland Livestock Auction,Davenport,WA,Services Offered,509-703-3981,WA008,Kale McGuinness,Spokane,WA,99220,P.O. Box 2765,Stockland Livestock Auction,1505 12th Street,Davenport,WA,509-535-2444,47.654,-118.15
Stilwell Livestock Auction,Stilwell,OK,Services Offered,,OK082,Allen Starr,Stilwell,OK,74960,P.O. Box 1417,Stilwell Livestock Auction,corner of Hwy 59 & Hwy 51 E,Stilwell,OK,918-696-2605,35.8144,-94.6286
Stigler Livestock Auction,Stigler,OK,Services Offered,,OK1009,Trenton Hokit,Stigler,OK,74462,P.O. Box 486,Stigler Livestock Auction,301 Southwest 5th Street,Stigler,OK,(918)967-2561,35.2537,-95.123
Sterling Livestock Commission Co.,Sterling,CO,Services Offered,,CO1013,Sterling Livestock Comm. Co.,Sterling,CO,80751,20197 Riverside Drive,Sterling Livestock Commission Co.,20197 Riverside Drive,Sterling,CO,,40.6255,-103.2077
Stephenville Cattle Company,Stephenville,TX,Services Offered,254-968-4844,TX049,Troy Moore,Stephenville,TX,76401,P.O. Box 831,Stephenville Cattle Company,3581 U.S. Hwy 281 N,Stephenville,TX,254-968-4844,32.2207,-98.2026
Stateline Stockyards,Burlington,OK,Services Offered,,OK1029,Dustin Focht,Burlington,OK,73722,40337 st hwy 8,Stateline Stockyards,40337 st hwy 8,Burlington,OK,(405)880-3548,36.9,-98.4229
State Line Livestock Auction Barn,Dukedom,TN,Services Offered,,TN159,Jerry Wilds,Dukedom,TN,38226,1530 Mayo Road,State Line Livestock Auction Barn,1530 Mayo Road,Dukedom,TN,731-699-0667,36.5023,-88.7151
Stanley County Livestock Market,Norwood,NC,Services Offered,704-474-7681,NC038,Marcus Harwood,Richfield,NC,28137,P.O. Box 465,Stanley County Livestock Market,13215 Indian Mound Road,Norwood,NC,704-474-7681,35.2196,-80.1189
St. Mary Cattle Co LLC/Heifer Haven,North Bangor,NY,Services Offered,,NY066,Joey & Jacob St. Mary,North Bangor,NY,12966,1838 State Route 11,St. Mary Cattle Co LLC/Heifer Haven,1838 State Route 11,North Bangor,NY,518-481-6666,44.842,-74.401
St. Francis Stockyard llc,St. Francis,KS,Services Offered,,KS1032,Matt Jablonski,Imperial,,69033,PO box 277,St. Francis Stockyard llc,507 East Hwy 36,St. Francis,KS,(308)882-6805,39.7722,-101.7999
Springville Feeder Auction Association,Springville,IN,Services Offered,,IN1003,Jerome Rusch DVM,Springville,IN,47462,PO Box 94,Springville Feeder Auction Association,4426 W State Road 54,Springville,IN,(812)279-1282,38.9362,-86.6194
"Springfield Stockyard & Sales, Inc",Springfield,SC,Services Offered,,SC1003,Nathan Croft,Barnwell,,29812,1168 Lebanon Rd,"Springfield Stockyard & Sales, Inc",7550 Festival Trail RD,Springfield,SC,,33.4968,-81.2793
Springfield Livestock Marketing Center,Springfield,MO,Services Offered,,MO1023,Joshua Ford,Springfield,MO,65802,6821 W. Independence,Springfield Livestock Marketing Center,6821 W. Independence,Springfield,MO,(417)869-9500,37.2153,-93.2983
Spring Lake Livestock Market Inc.,Bedford,VA,Services Offered,,VA1004,Alisha Roach,Bedford,VA,24121,1069 Sickle Court,Spring Lake Livestock Market Inc.,1069 Sickle Court,Bedford,VA,,37.3345,-79.5235
Spring Hill School Consignment Auction,Jamesport,MO,Services Offered,,MO1108,Neal Gingerich,Jamesport,MO,64648,19472 State Highway 190,Spring Hill School Consignment Auction,32334 July Avenue,Jamesport,MO,,39.9747,-93.8011
Spring Hill School Auction,Jamesport,MO,Services Offered,,MO1071,Neal Gingrich,Jamesport,MO,64648,19472 State Hwy 190,Spring Hill School Auction,32334 July Ave,Jamesport,MO,,39.9747,-93.8011
"Spencer Livestock Sales, Inc.",Spencer,IA,Services Offered,712-262-4528,IA175,Luke E. Muhlbauer,Spencer,IA,51301,P.O. Box 826,"Spencer Livestock Sales, Inc.",Hwy 71 North,Spencer,IA,712-262-4528,43.1414,-95.1444
"Southwest Livestock Auction, LLC",Dodge City,KS,Services Offered,,*,*,Dodge City,KS,67801,*,"Southwest Livestock Auction, LLC",*,Dodge City,KS,*,37.7528,-100.0171
Southwest Livestock Auction,Los Lunas,NM,Services Offered,,NM024,Dennis Chavez,Los Lunas,NM,87031,24 Dalies Road,Southwest Livestock Auction,24 Dalies Road,Los Lunas,NM,505-865-4600,34.8142,-106.7613
Southside Livestock Market Inc.,Blackstone,VA,Services Offered,,VA1013,Southside Livestock Market Inc,Blackstone,,24263,P.O. Box 696,Southside Livestock Market Inc.,170 Livestock Road,Blackstone,VA,(804)292-7277,37.0804,-77.9972
Southern States Equine,Carthage,MS,Services Offered,,*,Stacy McDaniel,Florence,MS,39073,*,Southern States Equine,2195 Hwy 16E,Carthage,MS,(601)672-7657,32.7326,-89.5362
Southern Plains Livestock Auction,Blackwell,OK,Services Offered,,OK1023,Lance E. Cochran,Blackwell,OK,74631,606 North 29th Street,Southern Plains Livestock Auction,606 North 29th Street,Blackwell,OK,,36.8045,-97.2828
Southern Oregon Livestock Auction,Williams,OR,Services Offered,,OR1003,Daniel Boyajian,Williams,OR,97544,734B Powell Creek Road,Southern Oregon Livestock Auction,734B Powell Creek Road,Williams,OR,(541)890-0822,42.2187,-123.2739
Southern Oklahoma Livestock Auction,Ada,OK,Services Offered,405-232-3128,OK002,Scott McCornack,Ada,OK,74820,P.O. Box 2652,Southern Oklahoma Livestock Auction,14020 CR 3530,Ada,OK,580-436-5033,34.7743,-96.6784
Southern Livestock,Twin City,GA,Services Offered,,GA1003,Clay Floyd,Swainsboro,,30401,P.O.Box 566,Southern Livestock,133 Old Highway 46,Twin City,GA,(912)578-3263,32.5829,-82.1551
Southern IL Livestock and Equine,Goreville,IL,Services Offered,,IL256,Chris Ray,Goreville,IL,62939,2755 Goreville Road,Southern IL Livestock and Equine,2755 Goreville Road,Goreville,IL,618-995-9365,37.5545,-88.9723
Southeastern Livestock Market,Chadbourn,NC,Services Offered,919-654-5281,NC008,Buddy J. McPherson,Chadbourn,NC,28431,56 Hubert White Road,Southeastern Livestock Market,56 Hubert White Road,Chadbourn,NC,919-654-5281,34.3221,-78.827
Southeast Mississippi Livestock,Hattiesburg,MS,Services Offered,,MS1004,Southeast Mississippi Livestock AAL,Hattiesburg,MS,39402,P.O. Box 16238,Southeast Mississippi Livestock,7677 U.S. Highway 49,Hattiesburg,MS,(601)268-2587,31.3271,-89.2903
South Dixie Livestock Market,Oakland,KY,Services Offered,,KY1013,Shawn Smith,Cave City,KY,42127,543 Herbert Turner Rd,South Dixie Livestock Market,592 Oakland Flatrock Rd,Oakland,KY,(270)612-1387,37.042,-86.2483
"South Central Regional Stockyards, Inc.",Vienna,MO,Services Offered,,*,*,Vienna,MO,65582,P.O. Box 700,"South Central Regional Stockyards, Inc.",221 Highway 42 West,Vienna,MO,*,38.1867,-91.9471
"South Central Livestock, Inc.",Fitzgerald,GA,Services Offered,,GA1027,Thomas Stripling,Fitzgerald,GA,31750,PO Box 356,"South Central Livestock, Inc.",146 Broad Road,Fitzgerald,GA,(229)423-4400,31.7149,-83.2527
South Branch Valley Livestock Exchg,Moorefield,WV,Services Offered,,WV1002,Gary L Vance,Moorefield,WV,26836,P O Box 615,South Branch Valley Livestock Exchg,341 Clay St.,Moorefield,WV,(304)538-6050,39.0623,-78.9695
"South Alabama Livestock, Inc.",Troy,AL,Services Offered,,AL012,Stan Adams,Brundidge,AL,36010,P.O. Box 794,"South Alabama Livestock, Inc.",268 County Road 5522,Troy,AL,334-735-2364,31.8088,-85.97
"Sonoran Livestock Market, LLC",Douglan,AZ,Services Offered,,AZ006,Jaafe Kellis,Douglas,AZ,85715,101 North Cattleman's Rd,"Sonoran Livestock Market, LLC",101 North Cattleman's Rd,Douglan,AZ,602-908-6006,,
Somerville Livestock - Profile/Initial Market Agreement,Somerville,TN,Services Offered,,TN1004,James Linville,Savannah,TN,38372,P.O. Box 1796,Somerville Livestock - Profile/Initial Market Agreement,270 Enterprise Road,Somerville,TN,(901)465-9679,35.2437,-89.3501
Somerville Cattle Company,Somerville,TN,Services Offered,,TN1025,Ronald Sharp,Hohenwald,TN,38462,PO Box 181,Somerville Cattle Company,278 Enterprise Dr,Somerville,TN,(931)628-3560,35.2437,-89.3501
"Smokey Lane Stables, Inc",Sugarcreek,OH,Services Offered,,OH1008,Sam B Mullet,Sugarcreek,OH,44681,686 Smokey Lane Rd NW,"Smokey Lane Stables, Inc",686 Smokey Lane Rd NW,Sugarcreek,OH,(330)852-2237,40.5031,-81.641
Smithfield Foods Inc.,Williamsburg,IA,Services Offered,,IA374,Gilbert M. Ashe,Williamsburg,IA,52361,2648 240th Street,Smithfield Foods Inc.,2648 240th Street,Williamsburg,IA,319-668-2426,41.6611,-92.0091
Smithfield Foods (Farmland Foods Inc.),Denison,IA,Services Offered,,IA437,Mike Ehlers,Denison,IA,51422,800 Industrial Drive,Smithfield Foods (Farmland Foods Inc.),800 Industrial Drive,Denison,IA,712-213-74000,42.0178,-95.3553
Smithfield Foods - Crete,Crete,NE,Services Offered,806-742-7479,NE215,Roger Bruss,Crete,NE,68333,Box 67,Smithfield Foods - Crete,2223 County Rd I,Crete,NE,402-440-2658,40.6278,-96.9614
Smithfield Foods,Colo,IA,Services Offered,,IA387,Terry Weltz,Colo,IA,50056,68810 Lincoln Hwy.,Smithfield Foods,68810 Lincoln Hwy.,Colo,IA,641-377-2277,42.0178,-93.3152
Smithfield Foods,Carroll,IA,Services Offered,,IA380,Shaun Bakke,Carroll,IA,51401,22715 210th Street,Smithfield Foods,22715 210th Street,Carroll,IA,712-792-2140,42.0652,-94.8666
"Smith County Commission Company, Inc.",Carthage,TN,Services Offered,,TN005,Jamie Higgins,Carthage,TN,37030,510 Carmack Avenue,"Smith County Commission Company, Inc.",510 Carmack Ave.,Carthage,TN,615-735-2780,36.2523,-85.9517
Smith Brothers Livestock,Bartow,GA,Services Offered,,GA1029,Ken Smith,Bartow,GA,30413,PO Box 176,Smith Brothers Livestock,4458 Hwy 319,Bartow,GA,(478)494-2508,32.8788,-82.4737
SMBL Cattle Co. LLC DBA J&J Livestock,Texarkana,TX,Services Offered,,TX095,Mike Daniel,Texarkana,TX,75501,P.O. Box 5970,SMBL Cattle Co. LLC DBA J&J Livestock,1813 Kings Hwy.,Texarkana,TX,903-832-3576,33.4251,-94.0477
Sleepy Eye Auction Market,Sleepy Eye,MN,Services Offered,,MN1007,Marie Guggisberg,Sleepy Eye,MN,56085,211 7th Avenue NE,Sleepy Eye Auction Market,211 7th Avenue NE,Sleepy Eye,MN,(507)794-4471,44.2972,-94.7241
Sisseton Livestock Auction,Sisseton,SD,Services Offered,605-698-4343,SD067,Blaine Hellwig,Sisseton,SD,57262,1020 3rd Ave West,Sisseton Livestock Auction,1020 3rd Avenue West,Sisseton,SD,605-698-4343,45.6646,-97.0498
Sioux Falls Regional Livestock,Worthing,SD,Services Offered,,SD098,Roger Koedam,Worthing,SD,57077,28168 Commerce Ave,Sioux Falls Regional Livestock,28168 Commerce Ave,Worthing,SD,605-372-8000,43.3291,-96.7628
"Sidney Livestock Market Center, LLC",Sidney,MT,Services Offered,,MT020,Tim Larson,Sidney,MT,59270,P.O. Box 1209,"Sidney Livestock Market Center, LLC",720 10th Avenue S.E.,Sidney,MT,406-482-3513,47.7167,-104.156
"Show Me Horse Sale, LLC - Lebanon",Lebanon,MO,Services Offered,,MO556,Tylene Jean Boley,Lebanon,MO,65536,30695 Hwy 5,"Show Me Horse Sale, LLC - Lebanon",30695 Hwy 5,Lebanon,MO,417-741-0915,37.6807,-92.6638
Show Me Horse Sale,Barnett,MO,Services Offered,,MO551,Elvin Zimmerman,Barnett,MO,65011,18051 Ridgewood Lane,Show Me Horse Sale,18051 Ridgewood Lane,Barnett,MO,573-378-2658,38.3784,-92.6746
"Shipshewana Auction, Inc.",Shipshewana,IN,Services Offered,,IN231,Keith Lambright,Shipshewana,IN,47388,P.O. Box 185,"Shipshewana Auction, Inc.",345 S Van Street Road 5,Shipshewana,IN,260-768-4129,41.6728,-85.5803
Sheridan Livestock Auction Company,Rushville,NE,Services Offered,,NE125,Daniel Otte,Rushville,NE,69360,P.O. Box 378,Sheridan Livestock Auction Company,501 Salebarn Road,Rushville,NE,308-327-2406,42.7183,-102.4641
"Shenandoah Valley Livestock, Inc.",Harrisonburg,VA,Services Offered,,VA079,Michael S. Richie,Harrisonburg,VA,22802,P.O. Box 23,"Shenandoah Valley Livestock, Inc.",1044 Edom Road,Harrisonburg,VA,540-434-4482,38.4493,-78.8689
Shelter Blacksmith Auction,Geneva,IN,Services Offered,,IN1004,Mahlon Shetler,Geneva,IN,46740,8343 S 150 East,Shelter Blacksmith Auction,8343 S 150 East,Geneva,IN,,40.5924,-84.9613
Sheldon Livestock,Sheldon,IA,Services Offered,712-324-3144,IA163,Roger & Sid Koedam,Sheldon,IA,51201,115 D Street,Sheldon Livestock,115 D Street,Sheldon,IA,712-324-3144,43.1811,-95.8561
"Shelby Livestock Yard, Inc.",Shelby,NC,Services Offered,704-487-5651f,NC079,Albert M. Eatmon,Shelby,NC,28150,814 Wallace Grove Drive,"Shelby Livestock Yard, Inc.",814 Wallace Grove Drive,Shelby,NC,704-487-4023,35.2924,-81.5356
Shamrock Livestock Market,O'Neill,NE,Services Offered,,NE211,Monte and Michele Haiar,O'Neill,NE,68763,Box 268,Shamrock Livestock Market,49313 Salebarn Road,O'Neill,NE,402-336-1675,42.46,-98.64
Shamrock Livestock Exchange LLC,Shamrock,TX,Services Offered,,TX1012,Aubrey Latham,Shamrock,TX,79079,6468 N US Hwy 83N,Shamrock Livestock Exchange LLC,6468 N US Hwy 83N,Shamrock,TX,(580)393-4440,35.2142,-100.249
Seymour's Commission Sale,De Kalb Junction,NY,Services Offered,315-388-5675,NY031,John & Mary Fobare,Waddington,NY,13694,358 Coles Creek Road,Seymour's Commission Sale,4349 US Highway 11,De Kalb Junction,NY,315-347-3325,44.5051,-75.2738
Seymour Equine Center,Seymour,IA,Services Offered,,IA462,Ura Gingerich,Seymour,IA,52590,2657 210th Street,Seymour Equine Center,2657 210th Street,Seymour,IA,,40.6825,-93.121
"SEMO Livestock Sales, LLC",Jackson,MO,Services Offered,,MO464,Neal C. Franke,Jackson,MO,63755,7505 Highway 61,"SEMO Livestock Sales, LLC",7505 Highway 61,Jackson,MO,573-243-4255,37.3823,-89.6662
Seminole Livestock Auction,Donalsonville,GA,Services Offered,,GA1031,Jerald Mock,Donalsonville,GA,39845,P.O. Box 704,Seminole Livestock Auction,5061 Highway 91 N.,Donalsonville,GA,(229)524-2305,31.0405,-84.8791
"Seaboard Triumph Foods, LLC",Sioux City,IA,Services Offered,,IA468,David Cary,Sioux City,IA,51111,5555 Seaboard Triumph Pkwy,"Seaboard Triumph Foods, LLC",5555 Seaboard Triumph Pkwy,Sioux City,IA,712-226-7800,42.4967,-96.4059
Screamer 5L Auction,Abbeville,AL,Services Offered,,AL099,Nicholyn Lingo,Abbeville,AL,36310,9183 County Road 97,Screamer 5L Auction,9183 County Road 97,Abbeville,AL,305-972-1414,31.5718,-85.2505
Scotts Hill Cattle Company,Scotts Hill,TN,Services Offered,,TN1024,Ronald Sharp,Hohenwald,TN,38462,PO Box 181,Scotts Hill Cattle Company,89 Mill Pond Rd.,Scotts Hill,TN,(931)628-3560,35.5151,-88.2453
Scotland County L/S Auction,Memphis,MO,Services Offered,,MO207,Jerry & Barbar Blomme,Memphis,MO,63555,P.O. Box 111,Scotland County L/S Auction,Highway 15 North,Memphis,MO,660-465-7213,40.4578,-92.1713
Schrader Marketing Center,Dakota,IL,Services Offered,,IL053,Ronald & Harry Schrader,Dakota,IL,61018,P.O. Box 171,Schrader Marketing Center,5995 Rt 75 East,Dakota,IL,815-449-2215,42.3886,-89.5262
Schmitty's Sale Barn,Aplington,IA,Services Offered,,IA1009,Kyle  and Riley Schmitt,Holland,,50642,19119 L Avenue,Schmitty's Sale Barn,930 Hunter Street,Aplington,IA,(608)434-4789,42.5841,-92.8844
Schachtele Auction,Keytesville,MO,Services Offered,,MO502,Tony & Becky Schachtele,Keytesville,MO,65261,P.O. Box 23,Schachtele Auction,24279 Highway 5,Keytesville,MO,660-413-3250,39.4345,-92.9382
Santa Teresa Livestock Auction,Santa Teresa,NM,Services Offered,,NM039,William Wallace,Santa Teresa,NM,88008,P.O. Box 1498,Santa Teresa Livestock Auction,101 Cattleman Drive,Santa Teresa,NM,,31.8559,-106.6392
Sano Stockyards,Columbia,KY,Services Offered,,KY1003,Justin Betz,Columbia,KY,42728,1450 Purdue Sano rd,Sano Stockyards,1100 abrell rd,Columbia,KY,(317)384-3600,37.1028,-85.3064
"Sand Mountain Stockyard, LLC",Crossville,AL,Services Offered,256-561-3656,AL008,John Hamilton,Boaz,AL,35957,P.O. Box 280,"Sand Mountain Stockyard, LLC",19509 AL Hwy 68,Crossville,AL,256-561-3434,34.2876,-85.9941
"Saluda Stockyard, LLC",Saluda,SC,Services Offered,,SC1008,Donnie Poplin and Cliff Hall,Leesville,SC,29070,PO Box 3403,"Saluda Stockyard, LLC",501 North Main Street,Saluda,SC,(803)385-7672,34.0015,-81.7721
"Saluda Livestock Exchange, LLC",Saluda,SC,Services Offered,,SC1009,"John and Tammie Shore, Wes Weeks, Joseph Coleman",Saluda,SC,29138,PO Box 490,"Saluda Livestock Exchange, LLC",4444 McCormick Hwy,Saluda,SC,(864)554-2199,34.0015,-81.7721
Salem Livestock Market,Salem,MO,Services Offered,573-729-5160,MO279,Renee Lauderdale,Salem,MO,65560,P.O. Box 1252,Salem Livestock Market,1805 West Highway 32,Salem,MO,573-729-8880,37.6456,-91.536
"Salem Livestock Auction, LLC",Salem,AR,Services Offered,,AR116,Tyler Jackson,Salem,AR,72576,P.O. Box 764,"Salem Livestock Auction, LLC",410 Fairview Rd,Salem,AR,870-895-3231,36.3711,-91.8271
"Salem Horse Auction, Inc.",Salem,AR,Services Offered,870-404-2522,AR118,Dennis Perryman,Viola,AR,72583,7122 Havenwood Road,"Salem Horse Auction, Inc.",410 Fairview Road,Salem,AR,870-458-2552,36.3711,-91.8271
S&R Livestock LLC,Owensville,MO,Services Offered,,MO1076,Christa Savoir,Hermann,MO,65041,2136 S. Hwy 19,S&R Livestock LLC,3635 Cuba Street,Owensville,MO,(314)550-1191,38.3456,-91.5015
Russellville Livestock Market,Russellville,KY,Services Offered,,KY093,Barry Higgins,Russellville,KY,42276,P.O. Box 544,Russellville Livestock Market,134 Farmer's Dr.,Russellville,KY,270-726-7633,36.8453,-86.8872
Russell Sale Barn  LLC,Russell,KS,Services Offered,,KS1033,Greg Carey,Russell,,67665,720 South Fossil,Russell Sale Barn  LLC,720 South Fossil,Russell,KS,(785)483-1455,38.8953,-98.8598
"Russell Livestock, LLC",Russell,KS,Services Offered,,KS1028,Crecia Reeves,Russell,KS,67665,720 South Fossil,"Russell Livestock, LLC",720 South Fossil,Russell,KS,(785)483-2961,38.8953,-98.8598
"Russell Livestock Market, Inc.",Russell,IA,Services Offered,,IA158,"Anthony Ballenger, Shawn Murphy",Russell,IA,50238,31683 U.S. Highway 34,"Russell Livestock Market, Inc.",31683 U.S. Highway 34,Russell,IA,515-535-6065,40.9819,-93.1985
"Russell County Stockyards, Inc.",Russell Springs,KY,Services Offered,502-866-3930,KY092,Autic Loy,Russell Springs,KY,42642,P.O. Box 211,"Russell County Stockyards, Inc.",211 Loy Brother's Rd.,Russell Springs,KY,270-866-3930,37.0562,-85.0886
Rugby Livestock Auction LLC,Rugby,ND,Services Offered,,ND1002,Cliff Mattson9-13-22,Rugby,ND,58368,PO Box 213,Rugby Livestock Auction LLC,2818 Hwy 2 W,Rugby,ND,(701)776-6393,48.3689,-99.9962
Rubin Livestock Service,Monticello,NY,Services Offered,,NY074,Jay Rubin,Monticello,NY,12701,93 Rubin Road,Rubin Livestock Service,93 Rubin Road,Monticello,NY,845-794-3401,41.6556,-74.6893
"Roswell Livestock Auction Sales, Inc.",Roswell,NM,Services Offered,,NM030,Benny Wooton,Roswell,NM,88201,900 North Garden Avenue,"Roswell Livestock Auction Sales, Inc.",900 North Garden Avenue,Roswell,NM,575-622-5580,33.3943,-104.523
Rose Livestock Auction,Stillwater,OK,Services Offered,,OK1017,Amy Rose,Agra,,74824,740679 S hwy 18,Rose Livestock Auction,8011 S. Perkins Rd.,Stillwater,OK,,36.1156,-97.0586
Roosevelt County Livestock Auction,Portales,NM,Services Offered,,NM1003,Colt Prather,Portales,NM,88130,196 NM 267,Roosevelt County Livestock Auction,196 NM 267,Portales,NM,(806)240-3494,34.1862,-103.3344
Ron White Livestock Inc.,Prairie du Chien,WI,Services Offered,,WI079,Ron White,Prairie du Chien,WI,53821,38459 Old School Lane,Ron White Livestock Inc.,38459 Old School Lane,Prairie du Chien,WI,608-778-8266,43.0518,-91.1413
"Rogers Community Auction, Inc",Rogers,OH,Services Offered,,OH1007,Wade C Baer,Rogers,OH,44455,45625 St. Rt. 154,"Rogers Community Auction, Inc",45625 St. Rt. 154,Rogers,OH,,40.7915,-80.6262
Rockville Livestock Inc.,Rockville,IN,Services Offered,765-569-6945,IN210,Stan Gildersleeve,Rockville,IN,47872,P.O. Box 295,Rockville Livestock Inc.,119 North Sill St.,Rockville,IN,765-569-0611,39.7625,-87.2292
Rockinghan Livestock Sales Inc.,Harrisonburg,VA,Services Offered,,VA078,Steven A. Chambers,Harrisonburg,VA,22801,P.O. Box 1856,Rockinghan Livestock Sales Inc.,1820 Dealton Avenue,Harrisonburg,VA,540-434-6765,38.4493,-78.8689
Rock Creek Livestock Market,Pine City,MN,Services Offered,,MN1009,Dale Heidelberger,Pine City,MN,55063,3923 State Highway 70,Rock Creek Livestock Market,3923 State Highway 70,Pine City,MN,(320)629-1122,45.8261,-92.9685
Rochester Sale Barn,Rochester,IN,Services Offered,,IN206,Vince M. Hoffman,Rochester,IN,46975,P.O. Box 605,Rochester Sale Barn,148 N. Fulton Ave.,Rochester,IN,219-223-2615,41.0648,-86.2158
"Robertson Horse Sale, LLC",Benson,AZ,Services Offered,,AZ1001,Del Thola,Benson,AZ,85602,300 Ocotillo Dr.,"Robertson Horse Sale, LLC",714 N. Madison Street,Benson,AZ,(520)221-0228,31.9679,-110.2946
Roberts Brothers Livestock Auction,Bolivar,MO,Services Offered,,MO462,Isaac McGinnis,Bolivar,MO,65613,"1616 E, Buffalo Road",Roberts Brothers Livestock Auction,1432 East Highway 32,Bolivar,MO,417-326-5815,37.6145,-93.4105
Robbins Horse Auctions,Exeter,MO,Services Offered,,MO375,Evans E. Robbins,Exeter,MO,65647,305 W. Commerce Street,Robbins Horse Auctions,305 West Commerce Street,Exeter,MO,417-835-2238,36.6723,-93.941
Roanoke-Hollins Stockyard,Roanoke,VA,Services Offered,,VA1010,John C Theimer,Cloverdale,,24077,Po BOX 95,Roanoke-Hollins Stockyard,471 Lee Highway,Roanoke,VA,(540)992-1112,37.271,-79.9414
Roanoke Stockyards,Roanoke,AL,Services Offered,,AL085,Chad Green,Roanoke,AL,36274,1009 Chestnut Street,Roanoke Stockyards,1009 Chestnut Street,Roanoke,AL,334-863-2441,33.1512,-85.3722
Riverton Livestock Auction - Winter Livestock,Riverton,WY,Services Offered,,WY019,Jeff Brown,Riverton,WY,82501,1490 South 8th Street East,Riverton Livestock Auction - Winter Livestock,1490 South 8th Street East,Riverton,WY,307-856-2209,43.025,-108.3799
Rio Grand Classic Livestock Auction,El Paso,TX,Services Offered,,TX017,Leslie Rios,El Paso,TX,79927,11870 Gateway East,Rio Grand Classic Livestock Auction,11870 Gateway East,El Paso,TX,915-858-0590,31.8064,-106.2221
Ricky Johnson Livestock,Glasgow,KY,Services Offered,,KY110,Rickey Johnson,Glasgow,KY,42141,3623 New Bowling Green Rd,Ricky Johnson Livestock,3623 New Bowling Green Rd,Glasgow,KY,270-678-2455,36.9959,-85.9119
Rich Prairie Livestock,Pierz,MN,Services Offered,,MN147,Cody Varner,Pierz,MN,56364,14267 160th Street,Rich Prairie Livestock,14267 160th Street,Pierz,MN,,45.9816,-94.1047
Rich Hill Horse and Tack Auction,Rich Hill,MO,Services Offered,,MO567,Dennis Wendt,Rich Hill,MO,64779,3081 SW State Route PP,Rich Hill Horse and Tack Auction,3081 SW State Route PP,Rich Hill,MO,,38.0964,-94.3611
RG Cattle,Check,VA,Services Offered,,VA1021,Randall Gerhart,Check,VA,24072,"1296 Stonewall Rd, NE",RG Cattle,"1296 Stonewall Rd, NE",Check,VA,(540)651-8626,37.03,-80.17
Reno County Stockyards,South Hutchinson,KS,Services Offered,,KS1041,Baron Winter,South Hutchinson,KS,67505,811 N. Main Street,Reno County Stockyards,811 N. Main Street,South Hutchinson,KS,,38.0281,-97.9403
Reel Livestock Center,Congerville,IL,Services Offered,,IL052,Carolyn Reel,Congerville,IL,61729,174 Danvers Road,Reel Livestock Center,174 Danvers Road,Congerville,IL,309-448-2288,40.617,-89.2043
Red Tie Event,Hale,MO,Services Offered,,MO1034,Dwight Harper,Tina,MO,64682,26692 CR 170,Red Tie Event,10572 Highway 65,Hale,MO,(660)542-4033,39.6036,-93.3424
Red River Livestock Auction Company,Armistead,LA,Services Offered,,LA016,Charles Garrett,Coushatta,LA,70633,P.O. Box 456,Red River Livestock Auction Company,Highway 1 South,Armistead,LA,318-932-5691,,
